"id","name_en","name_pt_BR","name_ja","aliases","source_games","role","element","range","area","power","accuracy","sp","recovery","effects","mastery","tags","teachable","availability"
"dark_lightning","Dark Lightning","Dark Lightning","ダークライトニング","ダークライトニング","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","47","95","17","48","[{""type"":""damage""},{""type"":""status"",""status"":""def_down"",""chance"":25,""duration"":3}]","precise","dark | melee","false","ready"
"bonhitsusen","Bonhitsusen","Bonhitsusen","ぼんひつせん","ぼんひつせん","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","62","95","13","48","[{""type"":""damage""}]","potent","dark | melee","false","requires_digixros"
"giga_stick_l","Giga Stick L","Giga Stick L","ギガスティックL","ギガスティックL","lost_evolution","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","62","95","13","48","[{""type"":""damage""}]","potent","dark | melee","true","ready"
"ammit","Ammit","Ammit","アメミット","アメミット","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","62","95","13","48","[{""type"":""damage""}]","potent","dark | melee","false","requires_digixros"
"avalon_s_gate","Avalon's Gate","Avalon's Gate","アヴァロンズゲート","アヴァロンズゲート","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","62","95","13","48","[{""type"":""damage""}]","potent","dark | melee","true","ready"
"dark_blast","Dark Blast","Dark Blast","ダークブラスト","ダークブラスト","dawn_dusk | lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","65","90","26","70","[{""type"":""damage""},{""type"":""status"",""status"":""def_down"",""chance"":25,""duration"":3}]","precise","dark | melee","true","ready"
"elder_sign","Elder Sign","Elder Sign","エルダーサイン","エルダーサイン","lost_evolution | super_xros_wars","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","80","90","22","70","[{""type"":""damage""}]","potent","dark | melee","true","ready"
"time_paradox","Time Paradox","Time Paradox","タイムパラドックス","タイムパラドックス","lost_evolution","striker","dark","{""shape"":""diamond"",""min"":1,""max"":3,""requiresLineOfSight"":false}","{""shape"":""single"",""radius"":0}","80","90","22","70","[{""type"":""damage""}]","potent","dark | melee","true","ready"
"poison_powder","Poison Powder","Poison Powder","ポイズンパウダー","ポイズンパウダー","dawn_dusk | lost_evolution | super_xros_wars","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","27","100","7","24","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"dark_nail","Dark Nail","Dark Nail","ダークネイル","ダークネイル","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"crimson_nail","Crimson Nail","Crimson Nail","クリムゾンネイル","クリムゾンネイル","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"death_charm","Death Charm","Death Charm","デズチャーム","デズチャーム","lost_evolution","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""},{""type"":""drain_sp"",""amount"":6}]","swift","dark | projectile","true","ready"
"death_claw","Death Claw","Death Claw","デスクロウ","デスクロウ","digimon_story_ds | lost_evolution | super_xros_wars","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","false","requires_digixros"
"sticker_bld","Sticker BLD","Sticker BLD","スティッカーBLD","スティッカーBLD","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""},{""type"":""drain_hp"",""percentOfDamage"":35}]","swift","dark | projectile","true","ready"
"power_dark","Power Dark","Power Dark","パワーダーク","パワーダーク","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","false","ready"
"momiji_oroshi","Momiji Oroshi","Momiji Oroshi","もみじおろし","もみじおろし","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"chaos_slash","Chaos Slash","Chaos Slash","カオススラッシュ","カオススラッシュ","dawn_dusk | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"chaos_blast","Chaos Blast","Chaos Blast","カオスブラスト","カオスブラスト","dawn_dusk | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","24","100","15","34","[{""type"":""damage""},{""type"":""status"",""status"":""def_down"",""chance"":25,""duration"":3}]","efficient","dark | projectile","true","ready"
"death_nail","Death Nail","Death Nail","デズネイル","デズネイル","lost_evolution","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"curse_breath","Curse Breath","Curse Breath","カースブレス","カースブレス","digimon_story_ds | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | breath","true","ready"
"snake_bandage","Snake Bandage","Snake Bandage","スネークバンテージ","スネークバンテージ","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","24","100","15","34","[{""type"":""damage""},{""type"":""status"",""status"":""speed_down"",""chance"":25,""duration"":3}]","efficient","dark | projectile","false","ready"
"thousand_arrow","Thousand Arrow","Thousand Arrow","サウザンドアロー","サウザンドアロー","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","24","100","15","34","[{""type"":""damage""},{""type"":""status"",""status"":""speed_down"",""chance"":25,""duration"":3},{""type"":""drain_hp"",""percentOfDamage"":35}]","efficient","dark | projectile","true","ready"
"soul_chopper","Soul Chopper","Soul Chopper","ソウルチョッパー","ソウルチョッパー","dawn_dusk | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","false","requires_digixros"
"grave_bone","Grave Bone","Grave Bone","グレイブボーン","グレイブボーン","dawn_dusk | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","53","95","16","48","[{""type"":""damage""}]","potent","dark | projectile","false","requires_digixros"
"lunatic_dance","Lunatic Dance","Lunatic Dance","ルナティックダンス","ルナティックダンス","dawn_dusk | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","53","95","16","48","[{""type"":""damage""}]","potent","dark | projectile","false","requires_digixros"
"demon_nail","Demon Nail","Demon Nail","デモンネイル","デモンネイル","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","53","95","16","48","[{""type"":""damage""}]","potent","dark | projectile","true","ready"
"death_slash","Death Slash","Death Slash","デススラッシュ","デススラッシュ","lost_evolution | super_xros_wars","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","53","100","16","48","[{""type"":""damage""}]","efficient","dark | projectile","true","ready"
"fl_inferno","FL Inferno","FL Inferno","FLインフェルノ","FLインフェルノ","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","38","95","20","48","[{""type"":""damage""},{""type"":""status"",""status"":""def_down"",""chance"":25,""duration"":3}]","precise","dark | projectile","true","ready"
"pandemonium_ls","Pandemonium LS","Pandemonium LS","パンデモニウムLS","パンデモニウムLS","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","53","95","16","48","[{""type"":""damage""}]","potent","dark | projectile","true","ready"
"uchikubi_gokumon","Uchikubi Gokumon","Uchikubi Gokumon","うちくびごくもん","うちくびごくもん","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","53","95","16","48","[{""type"":""damage""}]","potent","dark | projectile","false","requires_digixros"
"double_impact","Double Impact","Double Impact","ダブルインパクト","ダブルインパクト","dawn_dusk | digimon_story_ds | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cone"",""radius"":0,""length"":4}","38","95","20","48","[{""type"":""damage""},{""type"":""status"",""status"":""atk_down"",""chance"":25,""duration"":3}]","precise","dark | projectile","false","requires_digixros"
"hell_crusher","Hell Crusher","Hell Crusher","ヘルクラッシャー","ヘルクラッシャー","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""line"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","false","ready"
"genocide_gear","Genocide Gear","Genocide Gear","ジェノサイドギア","ジェノサイドギア","dawn_dusk | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""line"",""radius"":0,""length"":4}","39","100","11","34","[{""type"":""damage""}]","swift","dark | projectile","false","requires_digixros"
"bloody_srm","Bloody SRM","Bloody SRM","ブラッディSRM","ブラッディSRM","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""line"",""radius"":0,""length"":4}","53","95","16","48","[{""type"":""damage""},{""type"":""drain_hp"",""percentOfDamage"":35}]","potent","dark | projectile","true","ready"
"crescent_haken","Crescent Haken","Crescent Haken","クレセントハーケン","クレセントハーケン","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""line"",""radius"":0,""length"":4}","53","95","16","48","[{""type"":""damage""}]","potent","dark | projectile","false","requires_digixros"
"death_arrow","Death Arrow","Death Arrow","デスアロー","デスアロー","digimon_story_ds | lost_evolution | super_xros_wars","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""line"",""radius"":0,""length"":4}","53","100","16","48","[{""type"":""damage""}]","efficient","dark | projectile","true","ready"
"melting_bd","Melting BD","Melting BD","メルティーング・BD","メルティーング・BD","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""line"",""radius"":0,""length"":4}","68","90","25","70","[{""type"":""damage""}]","potent","dark | projectile","true","ready"
"pandemonium_fl","Pandemonium FL","Pandemonium FL","パンデモニウムFL","パンデモニウムFL","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""line"",""radius"":0,""length"":4}","53","90","29","70","[{""type"":""damage""},{""type"":""status"",""status"":""atk_down"",""chance"":25,""duration"":3}]","precise","dark | projectile","true","ready"
"dark_eye","Dark Eye","Dark Eye","ダークアイ","ダークアイ","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","26","100","8","24","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"kunai_feathers","Kunai Feathers","Kunai Feathers","くないばね","くないばね","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","22","100","16","34","[{""type"":""damage""},{""type"":""status"",""status"":""speed_down"",""chance"":25,""duration"":3}]","efficient","dark | projectile","true","ready"
"destroyed_voice","Destroyed Voice","Destroyed Voice","デストロイドボイス","デストロイドボイス","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","22","100","16","34","[{""type"":""damage""},{""type"":""status"",""status"":""def_down"",""chance"":25,""duration"":3}]","efficient","dark | projectile","true","ready"
"petrifier","Petrifier","Petrifier","ペトラファイアー","ペトラファイアー","dawn_dusk | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","37","100","12","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"poison_mist","Poison Mist","Poison Mist","ポイズンミスト","ポイズンミスト","lost_evolution | super_xros_wars","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","37","100","12","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"big_bang_tackle","Big Bang Tackle","Big Bang Tackle","ビックバンタックル","ビックバンタックル","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","37","100","12","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"necrophobia","Necrophobia","Necrophobia","ネクロフォビア","ネクロフォビア","dawn_dusk | digimon_story_ds | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","37","100","12","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"hell_s_granade","Hell's Granade","Hell's Granade","ヘルズグレネード","ヘルズグレネード","digimon_story_ds | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","37","100","12","34","[{""type"":""damage""}]","swift","dark | projectile","false","requires_digixros"
"skull_destroy","Skull Destroy","Skull Destroy","スカルデストロイ","スカルデストロイ","dawn_dusk | lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","37","100","12","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"e_nirvana","E Nirvana","E Nirvana","E・ニルヴァーナ","E・ニルヴァーナ","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","37","100","12","34","[{""type"":""damage""}]","swift","dark | projectile","true","ready"
"darkness_wave","Darkness Wave","Darkness Wave","ダークネスウェーブ","ダークネスウェーブ","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","22","100","16","34","[{""type"":""damage""},{""type"":""status"",""status"":""def_down"",""chance"":25,""duration"":3}]","efficient","dark | projectile","false","requires_digixros"
"nightmare_sdm","Nightmare SDM","Nightmare SDM","ナイトメアSDM","ナイトメアSDM","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","37","100","12","34","[{""type"":""damage""}]","swift","dark | projectile","false","ready"
"night_raid","Night Raid","Night Raid","ナイトレイド","ナイトレイド","digimon_story_ds | lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","37","100","12","34","[{""type"":""damage""},{""type"":""drain_sp"",""amount"":6}]","swift","dark | projectile","true","ready"
"dead_or_alive","Dead or Alive","Dead or Alive","デッドオアアライブ","デッドオアアライブ","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","50","95","17","48","[{""type"":""damage""}]","precise","dark | projectile","true","ready"
"death_cannon","Death Cannon","Death Cannon","デスキャノン","デスキャノン","dawn_dusk | lost_evolution | super_xros_wars","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","50","100","17","48","[{""type"":""damage""}]","efficient","dark | projectile","false","ready"
"chaos_eye","Chaos Eye","Chaos Eye","カオスアイ","カオスアイ","lost_evolution | super_xros_wars","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","50","95","17","48","[{""type"":""damage""}]","precise","dark | projectile","true","ready"
"distortion_l","Distortion L","Distortion L","ディストーションL","ディストーションL","lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","35","95","21","48","[{""type"":""damage""},{""type"":""status"",""status"":""speed_down"",""chance"":25,""duration"":3}]","precise","dark | projectile","true","ready"
"b_death_cloud","B Death Cloud","B Death Cloud","Bデスクラウド","Bデスクラウド","lost_evolution","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","50","100","17","48","[{""type"":""damage""}]","efficient","dark | projectile","false","ready"
"mega_death","Mega Death","Mega Death","メガデス","メガデス","digimon_story_ds | lost_evolution | super_xros_wars","control","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","50","100","17","48","[{""type"":""damage""},{""type"":""status"",""status"":""speed_down"",""chance"":40,""duration"":3}]","efficient","dark | projectile","false","requires_digixros"
"vn_infuse","VN Infuse","VN Infuse","VNインフューズ","VNインフューズ","dawn_dusk | lost_evolution","area_damage","dark","{""shape"":""diamond"",""min"":1,""max"":4,""requiresLineOfSight"":false}","{""shape"":""cross"",""radius"":1}","50","95","17","48","[{""type"":""damage""}]","precise","dark | projectile","true","ready"
